1633733296.281764,0
1633733296.390842,6
1633733296.504101,15
1633733296.617141,20
1633733296.728514,19
1633733296.841207,19
1633733296.954529,18
1633733297.066345,19
1633733297.177794,19
1633733297.290372,14
1633733297.403085,19
1633733297.515136,20
1633733297.625199,19
1633733297.737332,17
1633733297.850467,19
1633733297.964545,20
1633733298.075771,18
1633733298.186859,16
1633733298.299368,17
1633733298.410735,14
1633733298.521274,8
1633733298.631239,10
1633733298.743152,9
1633733298.854915,9
1633733298.965766,10
1633733299.075861,10
1633733299.186087,12
1633733299.298201,12
1633733299.408516,11
1633733299.519331,11
1633733299.630940,11
1633733299.741311,11
1633733299.851533,11
1633733299.961001,12
1633733300.071576,11
1633733300.182473,11
1633733300.302625,11
1633733300.413015,12
1633733300.523665,12
1633733300.634722,19
1633733300.746576,17
1633733300.859012,13
1633733300.970662,14
1633733301.080227,7
1633733301.192744,6
1633733301.304439,6
1633733301.414079,6
1633733301.523999,8
1633733301.636251,8
1633733301.748818,7
1633733301.859906,7
1633733301.968320,7
1633733302.078730,8
1633733302.191633,8
1633733302.304399,8
1633733302.417204,8
1633733302.527670,8
1633733302.637169,8
1633733302.747784,9
1633733302.858050,10
1633733302.968741,10
1633733303.078065,10
1633733303.187181,10
1633733303.297164,9
1633733303.407260,10
1633733303.517242,10
1633733303.627547,11
1633733303.739646,10
1633733303.849268,10
1633733303.959400,12
1633733304.069047,18
1633733304.182620,19
1633733304.292046,13
1633733304.400311,13
1633733304.510362,12
1633733304.620122,12
1633733304.728609,12
1633733304.837716,12
1633733304.946433,11
1633733305.055345,13
1633733305.166533,12
1633733305.276515,14
1633733305.387046,13
1633733305.497707,12
1633733305.607455,15
1633733305.717411,14
1633733305.827895,13
1633733305.937443,14
1633733306.048781,14
1633733306.158854,14
1633733306.267903,14
1633733306.376872,14
1633733306.486263,14
1633733306.594862,14
1633733306.719602,15
1633733306.828985,14
1633733306.938804,15
1633733307.047894,16
1633733307.156920,15
1633733307.277951,15
1633733307.386400,16
1633733307.496513,16
1633733307.605320,19
1633733307.715346,19
1633733307.825207,15
1633733307.934707,16
1633733308.045420,15
1633733308.156156,15
1633733308.266426,12
1633733308.376413,8
1633733308.486928,10
1633733308.595753,10
1633733308.706199,10
1633733308.815684,9
1633733308.927872,8
1633733309.037299,8
1633733309.149867,10
1633733309.259093,10
1633733309.368549,10
1633733309.478236,9
1633733309.587038,9
1633733309.697378,9
1633733309.807033,9
1633733309.915488,10
1633733310.025889,10
1633733310.134975,10
1633733310.245299,10
1633733310.355227,11
1633733310.465399,11
1633733310.574591,11
1633733310.684099,12
1633733310.793786,12
1633733310.903408,12
1633733311.012754,12
1633733311.122075,12
